,date,name,link,from,to,amount,bod,nationality,year,year_str,year_ly,year_ly_str,merge,merge_ly,full_name,birthday_GMT,season_real,nationality_real,position,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,season_str,merge_real,season_fifa,sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality_fifa,club_name,league_name,league_rank,overall,potential,international_reputation,skill_moves,joined,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,season_str_fifa,merge_fifa,diff_season_real,diff_season_fifa
10,2017-07-01,oliver torres,/oliver-torres/profil/spieler/214775,Atlético Madrid,FC Porto,20000000,1994/11/10,Spain,2018,2018,2017,2017,oliver torres_Spain_1994/11/10_2018,oliver torres_Spain_1994/11/10_2017,oliver torres munoz,1994/11/10,2017,Spain,Midfielder,1994,1119,875,29,15,14,3,3,0,3,2,1,0,0,18,8,10,8,6,2,1,0,114,89,-1,0.27,0.14,0.14,0.24,0.0,665.0,0.36,249.0,69.0,1994.0,665.0,0.05,2017,oliver torres_Spain_1994/11/10_2017,2017,208777,Óliver Torres,oliver torres munoz,21,1994/11/10,175,63,Spain,fc porto,Portuguese Liga ZON SAGRES,1,79,86,1,4,0,2017,72,66,76,84,57,49,0,0,0,0,0,0,61,71,53,84,53,85,77,64,73,83,76,68,86,81,81,51,62,68,34,69,58,65,78,84,65,43,66,62,7,7,14,6,8,2017,oliver torres_Spain_1994/11/10_2017,1,1
11,2017-07-01,nabil bentaleb,/nabil-bentaleb/profil/spieler/245537,Tottenham,FC Schalke 04,19000000,1994/11/24,Algeria,2018,2018,2017,2017,nabil bentaleb_Algeria_1994/11/24_2018,nabil bentaleb_Algeria_1994/11/24_2017,nabil bentaleb,1994/11/24,2017,Algeria,Midfielder,2553,1319,1234,32,16,16,5,3,2,5,5,0,1,0,7,4,3,32,13,19,12,0,109,70,-1,0.35,0.18,0.18,0.2,0.15,511.0,1.13,80.0,80.0,213.0,511.0,0.42,2017,nabil bentaleb_Algeria_1994/11/24_2017,2017,213296,N. Bentaleb,nabil bentaleb,21,1994/11/24,187,78,Algeria,fc schalke 04,German 1. Bundesliga,1,75,83,1,3,0,2017,61,65,73,74,68,73,0,0,0,0,0,0,64,58,48,80,63,74,67,56,75,77,68,55,75,66,68,74,54,78,71,72,74,77,68,76,58,69,70,58,9,10,16,9,15,2017,nabil bentaleb_Algeria_1994/11/24_2017,1,1
12,2017-07-01,mateo musacchio,/mateo-musacchio/profil/spieler/45653,Villarreal CF,AC Milan,18000000,1990/08/26,Argentina,2018,2018,2017,2017,mateo musacchio_Argentina_1990/08/26_2018,mateo musacchio_Argentina_1990/08/26_2017,mateo musacchio,1990/08/25,2017,Argentina,Defender,2067,807,1260,23,9,14,0,0,0,2,0,2,0,0,9,2,7,20,8,12,6,0,355,179,24,0.09,0.09,0.0,0.0,0.0,0.0,0.87,103.0,90.0,344.0,1034.0,0.26,2017,mateo musacchio_Argentina_1990/08/26_2017,2017,186547,M. Musacchio,mateo pablo musacchio,25,1990/08/26,182,75,Argentina,villarreal cf,Spain Primera Division,1,83,87,2,2,2010-07-01,2018,63,51,67,58,84,76,0,0,0,0,0,0,55,48,81,78,36,43,53,45,70,73,60,65,73,81,59,57,83,68,79,53,78,85,50,64,57,85,84,86,5,11,12,6,12,2017,mateo musacchio_Argentina_1990/08/26_2017,1,1
13,2017-07-01,simone zaza,/simone-zaza/profil/spieler/96828,Juventus Turin,FC Valencia,16000000,1991/06/25,Italy,2018,2018,2017,2017,simone zaza_Italy_1991/06/25_2018,simone zaza_Italy_1991/06/25_2017,simone zaza,1991/06/24,2017,Italy,Forward,1836,1223,613,28,15,13,6,4,2,1,1,0,0,0,9,5,4,32,20,12,9,0,-1,-1,-1,0.34,0.05,0.29,0.29,0.29,306.0,1.57,57.0,66.0,204.0,1836.0,0.44,2017,simone zaza_Italy_1991/06/25_2017,2017,202685,S. Zaza,simone zaza,25,1991/06/25,186,83,Italy,west ham united,English Premier League,1,80,83,2,3,0,2017,80,80,59,77,38,77,0,0,0,0,0,0,52,81,80,65,78,76,70,56,45,79,79,80,77,76,68,82,91,73,79,76,72,34,85,66,72,28,36,36,7,13,9,7,9,2017,simone zaza_Italy_1991/06/25_2017,1,1
14,2017-07-01,rick karsdorp,/rick-karsdorp/profil/spieler/205006,Feyenoord,AS Roma,16000000,1995/02/11,Netherlands,2018,2018,2017,2017,rick karsdorp_Netherlands_1995/02/11_2018,rick karsdorp_Netherlands_1995/02/11_2017,rick karsdorp,1995/02/11,2017,Netherlands,Defender,2541,1259,1282,30,15,15,1,1,0,4,4,0,0,0,14,6,8,22,10,12,3,0,213,98,24,0.18,0.14,0.04,0.07,0.0,2541.0,0.78,116.0,85.0,847.0,635.0,0.11,2017,rick karsdorp_Netherlands_1995/02/11_2017,2017,222558,R. Karsdorp,rick karsdorp,21,1995/02/11,184,80,Netherlands,feyenoord,Holland Eredivisie,1,76,82,1,2,2014-01-01,2020,87,63,70,71,71,79,0,0,0,0,0,0,78,53,66,68,66,74,60,60,73,70,86,87,66,71,65,80,74,89,73,69,83,65,64,67,52,74,72,74,13,7,14,16,15,2017,rick karsdorp_Netherlands_1995/02/11_2017,1,1
15,2017-07-01,gianluca caprari,/gianluca-caprari/profil/spieler/146752,Inter,Sampdoria,15000000,1993/07/30,Italy,2018,2018,2017,2017,gianluca caprari_Italy_1993/07/30_2018,gianluca caprari_Italy_1993/07/30_2017,gianluca caprari,1993/07/29,2017,Italy,Forward,3112,1587,1525,35,18,17,9,5,4,4,1,3,1,2,3,3,0,70,33,37,8,0,68,126,-1,0.38,0.12,0.26,0.28,0.24,346.0,2.02,44.0,89.0,389.0,778.0,0.23,2017,gianluca caprari_Italy_1993/07/30_2017,2017,202848,G. Caprari,gianluca caprari,22,1993/07/30,172,71,Italy,pescara,Italian Serie A,1,73,80,2,4,0,2017,87,66,70,79,17,53,0,0,0,0,0,0,68,66,47,72,64,78,72,65,62,77,89,85,91,68,91,68,33,77,53,68,30,15,68,75,56,15,13,12,9,8,14,6,11,2017,gianluca caprari_Italy_1993/07/30_2017,1,1
16,2017-07-01,enes unal,/enes-unal/profil/spieler/251106,Manchester City,Villarreal CF,14000000,1997/05/10,Turkey,2018,2018,2017,2017,enes unal_Turkey_1997/05/10_2018,enes unal_Turkey_1997/05/10_2017,enes unal,1997/05/09,2017,Turkey,Forward,2729,1373,1356,32,16,16,18,11,7,3,2,1,0,0,8,5,3,38,17,21,2,0,14,136,-1,0.69,0.1,0.59,0.72,0.46,152.0,1.25,72.0,85.0,1364.0,910.0,0.07,2017,enes unal_Turkey_1997/05/10_2017,2017,223197,E. Ünal,enes unal,19,1997/05/10,185,75,Turkey,fc twente,Holland Eredivisie,1,70,80,1,4,0,2017,72,71,60,68,31,67,0,0,0,0,0,0,56,71,63,64,68,66,71,72,47,70,71,72,75,66,67,76,71,67,76,69,43,29,67,61,68,23,33,24,8,14,8,13,13,2017,enes unal_Turkey_1997/05/10_2017,1,1
17,2017-07-01,harry maguire,/harry-maguire/profil/spieler/177907,Hull City,Leicester City,13700000,1993/03/05,England,2018,2018,2017,2017,harry maguire_England_1993/03/05_2018,harry maguire_England_1993/03/05_2017,harry maguire,1993/03/05,2017,England,Defender,2306,1132,1174,29,15,14,2,1,1,2,1,1,0,0,4,2,2,44,16,28,5,0,180,166,146,0.16,0.08,0.08,0.08,0.08,1153.0,1.72,52.0,80.0,461.0,1153.0,0.2,2017,harry maguire_England_1993/03/05_2017,2017,203263,H. Maguire,harry maguire,23,1993/03/05,188,79,England,hull city,English Premier League,1,72,80,1,2,2014-07-29,2017,47,35,53,51,71,81,0,0,0,0,0,0,39,30,73,65,27,50,29,46,64,56,40,53,35,55,59,52,70,72,88,29,75,67,46,45,40,70,74,69,14,16,9,14,9,2017,harry maguire_England_1993/03/05_2017,1,1
18,2017-07-01,marko rog,/marko-rog/profil/spieler/317482,Dinamo Zagreb,Napoli,13500000,1995/07/19,Croatia,2018,2018,2017,2017,marko rog_Croatia_1995/07/19_2018,marko rog_Croatia_1995/07/19_2017,marko rog,1995/07/18,2017,Croatia,Midfielder,373,164,209,15,7,8,0,0,0,0,0,0,0,0,8,4,4,1,0,1,4,0,284,285,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.24,373.0,25.0,93.0,0.0,0.97,2017,marko rog_Croatia_1995/07/19_2017,2017,236311,M. Rog,marko rog,20,1995/07/19,180,73,Croatia,napoli,Italian Serie A,1,75,85,1,3,2016-08-30,2017,73,67,77,76,43,54,0,0,0,0,0,0,75,62,47,82,65,80,64,57,78,78,75,71,64,58,67,70,53,65,50,76,51,28,63,78,60,40,54,48,6,15,12,13,12,2017,marko rog_Croatia_1995/07/19_2017,1,1
19,2017-07-01,yevgen konoplyanka,/yevgen-konoplyanka/profil/spieler/58949,FC Sevilla,FC Schalke 04,12500000,1989/09/29,Ukraine,2018,2018,2017,2017,yevgen konoplyanka_Ukraine_1989/09/29_2018,yevgen konoplyanka_Ukraine_1989/09/29_2017,yevhen konoplyanka,1989/09/28,2017,Ukraine,Midfielder,601,321,280,17,9,8,1,1,0,1,1,0,0,0,3,2,1,12,3,9,1,0,-1,-1,-1,0.3,0.15,0.15,0.28,0.0,601.0,1.8,50.0,35.0,601.0,601.0,0.15,2017,yevgen konoplyanka_Ukraine_1989/09/29_2017,2017,200641,Y. Konoplyanka,yevhen konoplyanka,26,1989/09/29,178,78,Ukraine,fc schalke 04,German 1. Bundesliga,1,83,84,2,4,0,2017,90,79,81,84,33,58,0,0,0,0,0,0,79,80,49,82,67,86,83,80,81,85,93,88,81,76,78,77,66,66,58,84,48,37,75,79,75,21,38,31,5,11,15,9,9,2017,yevgen konoplyanka_Ukraine_1989/09/29_2017,1,1
20,2017-07-01,omer toprak,/omer-toprak/profil/spieler/43512,Bay. Leverkusen,Bor. Dortmund,12000000,1989/07/21,Turkey,2018,2018,2017,2017,omer toprak_Turkey_1989/07/21_2018,omer toprak_Turkey_1989/07/21_2017,omer toprak,1989/07/20,2017,Turkey,Defender,2104,1060,1044,25,13,12,1,1,0,0,0,0,0,1,5,3,2,38,20,18,6,0,220,311,123,0.04,0.0,0.04,0.08,0.0,2104.0,1.63,55.0,84.0,351.0,0.0,0.26,2017,omer toprak_Turkey_1989/07/21_2017,2017,185239,O. Toprak,omer toprak,26,1989/07/21,187,83,Turkey,bayer 04 leverkusen,German 1. Bundesliga,1,84,85,3,2,2011-07-01,2018,76,39,62,67,86,75,0,0,0,0,0,0,49,28,84,75,55,64,44,33,69,72,75,77,65,82,61,63,82,68,79,36,74,85,35,59,48,87,86,84,11,8,11,12,15,2017,omer toprak_Turkey_1989/07/21_2017,1,1
21,2017-07-01,gerard deulofeu,/gerard-deulofeu/profil/spieler/129476,FC Everton,Barcelone,12000000,1994/03/13,Spain,2018,2018,2017,2017,gerard deulofeu_Spain_1994/03/13_2018,gerard deulofeu_Spain_1994/03/13_2017,gerard deulofeu,1994/03/13,2017,Spain,Forward,1919,819,1100,28,12,16,4,3,1,3,1,2,0,0,6,3,3,23,10,13,5,0,76,75,-1,0.33,0.14,0.19,0.33,0.08,480.0,1.08,83.0,69.0,384.0,640.0,0.23,2017,gerard deulofeu_Spain_1994/03/13_2017,2017,202477,Deulofeu,gerard deulofeu lazaro,22,1994/03/13,179,73,Spain,everton,English Premier League,1,81,88,2,4,2015-07-01,2018,91,69,73,87,26,60,0,0,0,0,0,0,79,74,40,73,55,89,84,75,60,86,89,92,93,77,77,64,72,76,59,65,40,25,78,72,70,20,30,22,12,16,14,11,11,2017,gerard deulofeu_Spain_1994/03/13_2017,1,1
22,2017-07-01,mahmoud dahoud,/mahmoud-dahoud/profil/spieler/191422,Bor. M'gladbach,Bor. Dortmund,12000000,1996/01/01,Germany,2018,2018,2017,2017,mahmoud dahoud_Germany_1996/01/01_2018,mahmoud dahoud_Germany_1996/01/01_2017,mahmoud dahoud,1996/01/01,2017,Germany,Midfielder,2281,1222,1059,28,15,13,2,1,1,6,3,3,0,0,10,6,4,34,13,21,3,0,178,50,-1,0.32,0.24,0.08,0.07,0.08,1140.0,1.34,67.0,81.0,760.0,380.0,0.12,2017,mahmoud dahoud_Germany_1996/01/01_2017,2017,218339,M. Dahoud,mahmoud dahoud,20,1996/01/01,177,67,Germany,borussia monchengladbach,German 1. Bundesliga,1,79,88,2,3,2013-07-01,2018,71,64,75,82,62,68,0,0,0,0,0,0,66,58,42,82,49,82,58,48,77,83,78,65,84,78,77,72,70,89,58,75,68,65,65,80,55,63,65,61,14,7,9,12,11,2017,mahmoud dahoud_Germany_1996/01/01_2017,1,1
23,2017-07-01,jordan rhodes,/jordan-rhodes/profil/spieler/48950,Middlesbrough,Sheff Wed,11700000,1990/02/05,Scotland,2018,2018,2017,2017,jordan rhodes_Scotland_1990/02/05_2018,jordan rhodes_Scotland_1990/02/05_2017,jordan rhodes,1990/02/05,2017,Scotland,Forward,1550,798,752,26,15,11,3,3,0,1,0,1,0,1,7,3,4,16,9,7,0,0,-1,-1,-1,0.23,0.06,0.17,0.34,0.0,517.0,0.93,97.0,60.0,0.0,1550.0,0.0,2017,jordan rhodes_Scotland_1990/02/05_2017,2017,184624,J. Rhodes,jordan rhodes,26,1990/02/05,185,71,Scotland,middlesbrough,English Premier League,1,74,76,1,2,2016-02-01,2020,64,76,53,68,41,69,0,0,0,0,0,0,56,81,74,54,75,66,46,32,40,70,60,68,74,74,66,75,81,78,76,61,36,42,81,67,84,39,35,26,10,8,14,11,10,2017,jordan rhodes_Scotland_1990/02/05_2017,1,1
24,2017-07-01,asmir begovic,/asmir-begovic/profil/spieler/33873,Chelsea,Bournemouth,11500000,1987/06/20,Bosnia-Herzegovina,2018,2018,2017,2017,asmir begovic_Bosnia-Herzegovina_1987/06/20_2018,asmir begovic_Bosnia-Herzegovina_1987/06/20_2017,asmir begovic,1987/06/19,2017,Bosnia and Herzegovina,Goalkeeper,180,90,90,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,36.0,90.0,0.0,0.0,0.0,2017,asmir begovic_Bosnia-Herzegovina_1987/06/20_2017,2017,172723,A. Begović,asmir begovic,29,1987/06/20,200,83,Bosnia Herzegovina,chelsea,English Premier League,1,83,83,3,1,2015-07-13,2019,0,0,0,0,0,0,83,81,74,84,55,80,14,12,12,26,12,16,17,15,32,24,52,58,53,79,41,28,38,36,80,12,42,21,11,31,40,13,11,12,83,81,74,80,84,2017,asmir begovic_Bosnia-Herzegovina_1987/06/20_2017,1,1
25,2017-07-01,landry dimata,/landry-dimata/profil/spieler/311489,KV Oostende,VfL Wolfsburg,11500000,1997/09/01,Belgium,2018,2018,2017,2017,landry dimata_Belgium_1997/09/01_2018,landry dimata_Belgium_1997/09/01_2017,landry dimata,1997/08/31,2017,Belgium,Forward,2208,1136,1072,29,15,14,12,7,5,1,0,1,2,1,9,6,3,23,11,12,3,0,15,171,-1,0.53,0.04,0.49,0.55,0.42,184.0,0.94,96.0,76.0,736.0,2208.0,0.12,2017,landry dimata_Belgium_1997/09/01_2017,2017,231745,L. Dimata,landry nany dimata,18,1997/09/01,185,81,Belgium,kv oostende,Belgian Jupiler Pro League,1,64,79,1,3,2016-07-01,2020,79,59,47,69,22,60,0,0,0,0,0,0,51,60,54,52,54,73,38,42,36,64,83,76,73,68,59,63,63,51,73,53,40,16,61,46,60,16,21,18,12,15,12,5,10,2017,landry dimata_Belgium_1997/09/01_2017,1,1
